Event,Site,Date,Round,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,Variant,TimeControl,ECO,Termination,PGN,WhiteTitle,FEN,SetUp
Casual Standard game,https://lichess.org/ufUVmlob,2018.11.08,-,HushPuppies,tabatabataba,0-1,2018.11.08,07:50:28,1230,1609,,,From Position,-,?,Normal,41... g5+ 42. Kxe4 Rc4+ 43. Kd3 Rc8 44. e4 Rd8+ 45. Ke3 f5 46. exf5 Re8+ 47. Kf3 h5 48. h4 gxh4 49. Kf4 Re2 50. Kg5 Rxg2+ 51. Kxh5 Rf2 52. Kxh4 Rxf5 53. Kg4 Rf7 54. Kg5 Kg7 55. Kh5 Rf5+ 56. Kg4 Rf1 57. Kg3 Rg1+ 58. Kf2 Rg4 59. Kf3 Rh4 60. Kg3 Rh5 61. Kg4 Rh6 62. Kf5 Rh5+ 63. Kg4 Rh6 64. Kg5 Rh7 65. Kf5 Kf7 66. Kg5 Rg7+ 67. Kf5 Ke7 68. Ke5 Rg5+ 69. Kf4 Rg6 70. Kf5 Rg7 71. Ke5 Kd7 72. Kf6 Rg8 73. Kf7 Rd8 74. Kf6 Kd6 75. Kf7 Ke5 76. Ke7 Rd5 77. Kf7 Rd6 78. Ke7 Kd5 79. Kf7 Ke5 80. Kg7 Kf5 81. Kh7 Kg5 82. Kg7 Rd7+ 83. Kg8 Kg6 84. Kf8 Kf6 85. Ke8 Ke6 86. Kf8 Kf6 87. Kg8 Kg6 88. Kh8 Rc7 89. Kg8 Rc8# 0-1,,5k2/6p1/5p1p/8/4pK2/2r1P2P/6P1/8 b - - 3 41,1
Rated Correspondence game,https://lichess.org/OTHGTgKX,2018.11.08,-,HushPuppies,darthveder,1-0,2018.11.08,07:35:17,1310,1500,+154,-296,Standard,-,C40,Normal,1. e4 e5 2. Nf3 Bd6 3. a3 f6 4. c4 Nc6 5. Be2 Nge7 6. b3 Nd4 7. Nxd4 exd4 8. d3 Be5 9. Nd2 d6 10. O-O Bd7 11. Bb2 Ng6 12. Bh5 Qe7 13. Bg4 O-O-O 14. c5 Bf4 15. Bxd4 dxc5 16. Be3 Bxe3 17. fxe3 Ne5 18. h3 Nxd3 19. a4 Bxg4 20. Qxg4+ f5 21. Qxf5+ Qd7 22. Nc4 Rhf8 23. Qxd7+ Rxd7 24. Rxf8+ Rd8 25. Rxd8+ Kxd8 26. Rd1 1-0,,,
Rated Correspondence game,https://lichess.org/zZqbH4il,2018.11.08,-,HushPuppies,tabatabataba,0-1,2018.11.08,06:11:17,1310,1500,-80,+109,Standard,-,C40,Normal,1. e4 e5 2. Nf3 Bd6 3. Nc3 b6 4. d4 Bb7 5. d5 Nf6 6. a3 h6 7. h3 O-O 8. Bc4 Qe8 9. O-O Bc5 10. Be3 Bxe3 11. fxe3 d6 12. Nb5 Na6 13. b3 Nxe4 14. a4 c6 15. dxc6 Qxc6 16. Bd5 Qxd5 17. Qxd5 Bxd5 18. c4 Be6 19. Rad1 Rad8 20. b4 Bxc4 21. Rfe1 Nxb4 22. Nxa7 Nc2 23. Nd2 Nxd2 24. Rxd2 Nxe1 25. Nc6 Rde8 26. Rxd6 f6 27. Nb4 Rd8 28. Rxb6 Rd1 29. a5 Ra1 30. a6 Ra8 31. Nc6 R1xa6 32. Rxa6 Bxa6 33. Ne7+ Kf7 34. Nf5 Bc8 35. Nd6+ Kf8 36. Nxc8 Rxc8 37. Kf2 Rc2+ 38. Kxe1 Rc1+ 39. Kf2 e4 40. Kg3 Rc3 41. Kf4 0-1,,,
Rated Rapid game,https://lichess.org/RNtDOVPc,2018.11.07,-,uccchess,HushPuppies,0-1,2018.11.07,04:21:58,1150,1151,-11,+11,Standard,-,C25,Normal,1. e4 e5 2. Nc3 Nc6 3. Bc4 d6 4. d3 a6 5. Be3 Be6 6. f4 Bxc4 7. dxc4 exf4 8. Bxf4 h6 9. Qf3 Ne5 10. Bxe5 dxe5 11. Rd1 Bd6 12. c5 Qh4+ 13. g3 Qg5 14. cxd6 cxd6 15. Nd5 O-O-O 16. Nb6+ Kb8 17. Qxf7 Nf6 18. Nf3 Qe3+ 19. Kf1 Qxf3+ 20. Kg1 Qxd1+ 21. Kg2 Qe2+ 22. Kh3 Qg4+ 23. Kg2 Qxe4+ 24. Kg1 Qe3+ 25. Kg2 Qxb6 26. Qxg7 Ne4 27. b3 Qf2+ 28. Kh3 Ng5+ 29. Kh4 Nf3+ 30. Kh3 Ng1+ 31. Kg4 Qg2 32. Rxg1 Qxg1 33. h4 Rhg8 34. Qxg8 Rxg8+ 35. Kh5 Qxg3 36. c4 Rg5+ 37. hxg5 Qxg5# 0-1,,,
Rated Rapid game,https://lichess.org/2XodxWic,2018.11.07,-,descartes76,HushPuppies,0-1,2018.11.07,01:48:45,1008,1144,-9,+7,Standard,600+0,B07,Normal,1. e4 e5 2. d4 d6 3. d5 c6 4. Nc3 cxd5 5. Nxd5 Nc6 6. Bb5 a6 7. Bxc6+ bxc6 8. Nc3 Nf6 9. f3 Bb7 10. Nge2 d5 11. O-O d4 12. Na4 Bd6 13. Bg5 h6 14. Bxf6 Qxf6 15. Nb6 Rd8 16. c3 Bc5 17. b4 Bxb6 18. a4 dxc3+ 19. Kh1 Rxd1 0-1,,,
Rated Rapid game,https://lichess.org/qlwiDAzW,2018.11.06,-,Juanjoseher23,HushPuppies,1-0,2018.11.06,16:57:32,1068,1158,+13,-14,Standard,600+0,C23,Normal,1. e4 e5 2. Bc4 Nf6 3. f4 d6 4. fxe5 dxe5 5. Nf3 Nc6 6. O-O Bd6 7. Ng5 O-O 8. Nxf7 Rxf7 9. Bxf7+ Kxf7 10. Qh5+ 1-0,,,
Rated Rapid game,https://lichess.org/LL3lQOxy,2018.11.06,-,HushPuppies,pronetolose,1-0,2018.11.06,11:24:10,1148,1090,+10,-9,Standard,600+0,C40,Normal,1. e4 e5 2. Nf3 Bc5 3. Nxe5 Qe7 4. d4 d6 5. dxc5 Qxe5 6. Qd5 Qxd5 7. exd5 dxc5 8. c4 Bf5 9. Nc3 Na6 10. a3 O-O-O 11. Be2 Re8 12. O-O Bc2 13. Be3 Nf6 14. h3 Be4 15. Rfd1 Bxg2 16. Kxg2 Ne4 17. Nb5 Nxf2 18. Kxf2 Re4 19. d6 c6 20. Nc3 Rxc4 21. Bxc4 Kd7 1-0,,,
Rated Rapid game,https://lichess.org/fQ2ztDTd,2018.11.06,-,HushPuppies,f0xy_d,0-1,2018.11.06,07:52:18,1159,1180,-11,+10,Standard,600+0,C22,Normal,1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qe3 Nf6 5. h3 Qe7 6. Bd3 d5 7. exd5 Qxe3+ 8. Bxe3 Nxd5 9. c4 Nxe3 10. fxe3 g6 11. Nc3 Bg7 12. Ne4 O-O 13. O-O-O Bf5 14. Rf1 Rad8 15. Kb1 Rxd3 16. Rxf5 gxf5 17. Nc5 Rxe3 18. Nf3 Rfe8 19. Nd7 Ne5 20. Ndxe5 Bxe5 21. a3 Re2 22. g4 Rxb2+ 23. Kc1 Rb3 24. Rg1 Rxf3 25. gxf5+ Kf8 26. Rg5 0-1,,,
Rated Rapid game,https://lichess.org/DG0PgcK0,2018.11.05,-,HushPuppies,misfit87,1-0,2018.11.05,20:20:43,1149,1107,+10,-9,Standard,600+0,C20,Time forfeit,1. e4 e5 2. d3 Nf6 3. g3 d6 4. h3 Nc6 5. Nc3 Nd4 6. Be3 Bd7 7. Nge2 Nxe2 8. Qxe2 c6 9. Bg5 Be7 10. Bg2 O-O 11. O-O-O g6 12. h4 h5 13. Bxf6 Bxf6 14. g4 Bxg4 15. Bf3 Bxf3 16. Qxf3 b5 17. b4 Qb6 18. Qxf6 Qd4 19. Kd2 d5 20. Qxc6 Qxf2+ 21. Ne2 Rac8 22. Qxd5 Rfd8 23. Qxe5 f6 24. Qxb5 Qf3 25. Rhg1 f5 26. Rxg6+ Kf8 27. Rg5 fxe4 28. Rf5+ Qxf5 29. Qxf5+ Ke8 30. Qxe4+ Kd7 31. Rf1 1-0,,,
Casual Correspondence game,https://lichess.org/tjXFrZHq,2018.11.05,-,darthveder,HushPuppies,0-1,2018.11.05,08:30:04,1500,1310,,,Standard,600+0,D00,Normal,1. d4 d5 2. c3 e6 3. Nd2 c5 4. e3 Nc6 5. Bd3 a6 6. g3 Nf6 7. a3 cxd4 8. cxd4 Bd6 9. Nb3 O-O 10. Bd2 a5 11. Nf3 Ne4 12. Ng5 Nxg5 13. Qh5 Ne4 14. f3 Nf6 15. Qg5 Qe7 16. e4 a4 17. e5 h6 18. exd6 Qxd6 19. Qf4 Qxf4 20. gxf4 axb3 21. Rg1 Nxd4 22. f5 Nxf3+ 23. Kf1 Nxg1 24. Kxg1 exf5 25. Re1 Bd7 26. Bb4 Rfe8 27. Re7 Rxe7 28. Bxe7 Re8 0-1,,,
Rated Rapid game,https://lichess.org/Wm76YQ78,2018.11.04,-,manofire88,HushPuppies,0-1,2018.11.04,06:50:26,1147,1137,-12,+12,Standard,-,C25,Normal,1. e4 e5 2. Nc3 Bc5 3. h3 d6 4. Nf3 Nf6 5. d3 O-O 6. Nd5 Nxd5 7. exd5 h6 8. g4 b6 9. h4 Bxg4 10. Be2 Nd7 11. Bxh6 gxh6 12. Rg1 h5 13. Nh2 f5 14. f3 Qxh4+ 15. Kd2 Qg5+ 16. Kc3 Bd4+ 17. Kb3 Nc5+ 18. Ka3 Bxg1 19. Nxg4 fxg4 20. Qxg1 Qf4 21. c4 Qd2 22. b4 Qxe2 23. fxg4 Qxd3+ 24. Kb2 Na4+ 25. Kc1 Qc3+ 26. Kb1 Qb2# 0-1,,,
Casual Correspondence game,https://lichess.org/mt1Xufwj,2018.11.04,-,HushPuppies,lichess AI level 8,0-1,2018.11.04,01:21:02,1310,?,,,Standard,600+0,C00,Normal,1. e4 e6 2. Bc4 d5 3. Bb5+ c6 4. Ba4 dxe4 5. f3 b5 6. Nc3 exf3 0-1,,,
Casual Correspondence game,https://lichess.org/XmjafZgc,2018.11.04,-,lichess AI level 8,HushPuppies,1-0,2018.11.04,01:15:22,?,1310,,,Standard,-,C44,Normal,1. e4 e5 2. Nf3 Nc6 3. d4 d6 4. d5 Nce7 5. Bd3 Bg4 6. h3 Bxf3 7. Qxf3 Nf6 8. Bg5 Qd7 9. Nc3 O-O-O 10. a4 Nxe4 11. Nxe4 Nxd5 12. Bxd8 Qxd8 13. Bc4 Nb4 14. O-O-O d5 15. Bxd5 Nxd5 16. Qxf7 Bb4 17. Rxd5 Bd6 18. Rhd1 1-0,,,
Rated Bullet game,https://lichess.org/nyhrDVtV,2018.11.03,-,ig_castro,HushPuppies,1-0,2018.11.03,16:54:37,1068,987,+8,-23,Standard,-,A01,Time forfeit,1. b3 c5 2. Bb2 Nc6 3. g3 e6 4. Bg2 f5 5. e3 g6 6. Bxh8 Nf6 7. Nf3 Be7 8. Bg7 Kf7 9. Bxf6 Bxf6 10. Nc3 b6 11. Qe2 Ba6 12. O-O-O Bxe2 13. Rde1 Bxf3 14. Bxf3 Qc8 15. h4 Qa6 16. a4 b5 17. axb5 Qa1+ 18. Nb1 Nb4 19. c3 Na2+ 20. Kc2 d5 21. e4 Bxc3 22. dxc3 Nxc3 23. Nxc3 Qa5 24. exd5 Qb4 25. dxe6+ Kf6 26. Bxa8 f4 27. e7 c4 28. bxc4 Qa4+ 29. Kd3 1-0,,,
Rated Antichess game,https://lichess.org/lN1DRvON,2018.11.01,-,HushPuppies,VVP13,0-1,2018.11.01,19:26:36,1500,1797,-72,+4,Antichess,60+0,?,Normal,1. h3 d6 2. a3 Bxh3 3. gxh3 Qd7 4. h4 Qh3 5. Nxh3 g5 6. hxg5 h6 7. gxh6 Rxh6 8. Rh2 Rxh3 9. Rxh3 Bh6 10. Rxh6 Nxh6 11. Bh3 Nf5 12. Bxf5 e6 13. Bxe6 fxe6 14. a4 b5 15. axb5 Na6 16. bxa6 Kd7 17. b3 Kc6 18. c4 Kb7 19. axb7 Rc8 20. bxc8=N c6 21. Nxa7 e5 22. Nxc6 d5 23. cxd5 e4 24. d3 exd3 25. exd3# 0-1,,,
Rated Rapid game,https://lichess.org/WxbLY0sb,2018.11.01,-,alomak,HushPuppies,0-1,2018.11.01,16:37:16,1138,1126,-11,+11,Standard,30+3,B30,Time forfeit,1. e4 c5 2. Nf3 Nc6 3. Bc4 h6 4. d3 a6 5. a3 b5 6. Bb3 e6 7. O-O Nf6 8. h3 d5 9. exd5 Nxd5 10. Re1 Bd6 11. Bxd5 Bb7 12. Bxc6+ Bxc6 13. Qe2 O-O 14. c4 Bxf3 15. Qxf3 Qa5 16. Bd2 Qa4 17. Nc3 Qb3 18. Rab1 Rfd8 19. Ne4 Be7 20. Qg3 Rxd3 21. Be3 Qxc4 22. Nd2 Qa4 23. Rbc1 Bg5 24. Bxg5 Rxg3 0-1,,,
Rated Rapid game,https://lichess.org/zOmPIf1Z,2018.11.01,-,HushPuppies,Xetherion,0-1,2018.11.01,12:31:23,1136,1171,-10,+9,Standard,600+0,C44,Time forfeit,1. e4 e5 2. Nf3 Nc6 3. d3 d5 4. exd5 Qxd5 5. Nc3 Qa5 6. a3 b5 7. Be3 b4 8. axb4 Qxb4 9. Ra4 Qxb2 10. Bd2 Bd6 11. Be2 Nge7 12. O-O O-O 13. Ra6 Bxa6 14. Na4 Qb5 15. Qa1 Qb7 16. c3 e4 17. dxe4 Bxe2 18. Rb1 Nb4 19. cxb4 Bxf3 20. gxf3 Rab8 21. b5 a6 22. Bb4 axb5 23. Bxd6 cxd6 24. Nc3 Qa8 25. Qxa8 Rxa8 26. Rxb5 Ng6 27. Nd5 Rac8 28. f4 Nh4 29. Ne7+ Kh8 30. Nxc8 Rxc8 31. h3 Nf3+ 32. Kg2 Nd4 33. Rd5 Ne2 34. Rxd6 Nxf4+ 35. Kg3 Ne6 36. f4 g6 37. e5 Kg7 38. Kf3 h5 39. Ke4 Re8 40. f5 gxf5+ 41. Kxf5 Nc7 42. Rd7 Nb5 43. Ke4 Nc3+ 44. Kd4 Ne2+ 45. Kd5 Nf4+ 46. Kd6 Nxh3 47. Re7 Rxe7 48. Kxe7 Nf4 49. e6 Nxe6 0-1,,,
Rated Rapid game,https://lichess.org/Sw0aAqRk,2018.11.01,-,HushPuppies,francisbrunel,0-1,2018.11.01,12:29:29,1147,1165,-11,+10,Standard,600+0,C44,Normal,1. e4 e5 2. Nf3 Nc6 3. c3 d5 4. d3 dxe4 5. d4 exf3 0-1,,,
Rated Rapid game,https://lichess.org/fkCeJpEo,2018.11.01,-,JRQ,HushPuppies,1-0,2018.11.01,03:00:25,1164,1158,+10,-11,Standard,600+0,C62,Time forfeit,1. e4 e5 2. Nf3 Nc6 3. Bb5 d6 4. Bxc6+ 1-0,,,
Rated Rapid game,https://lichess.org/O9QKzfna,2018.10.31,-,HushPuppies,lisspamtest,0-1,2018.10.31,02:06:38,1173,1072,-15,+13,Standard,600+0,B01,Normal,1. e4 d5 2. Nc3 d4 3. Nd5 c6 4. Nf4 e5 5. Nh5 g6 6. Ng3 h5 7. d3 h4 8. N3e2 g5 9. Nf3 f6 10. Bd2 a5 11. a3 Bg4 12. h3 Bxf3 13. gxf3 Qb6 14. Bxg5 fxg5 15. Qd2 Be7 16. Rg1 Rh5 17. Rg4 Nh6 18. Rg2 Qxb2 19. Qd1 Bxa3 20. Rxa3 Qxa3 21. f4 exf4 22. Nxd4 Qb4+ 23. Ke2 Qxd4 24. Kf3 Nd7 25. Rg1 Ne5+ 26. Kg2 f3+ 27. Kh1 O-O-O 28. c3 Qxc3 29. Qa4 b5 30. Qa2 Re8 31. d4 Qxd4 32. Qxa5 Kb7 33. Bxb5 Qb6 34. Qd2 Qxb5 35. Qd7+ 0-1,,,
Rated Rapid game,https://lichess.org/duqOqP8y,2018.10.31,-,pekosf2004,HushPuppies,0-1,2018.10.31,01:52:28,1110,1163,-14,+10,Standard,600+0,B32,Time forfeit,1. e4 c5 2. Nf3 Nc6 3. d4 d6 4. dxc5 dxc5 5. Qxd8+ Nxd8 6. b3 Nf6 7. e5 Ng4 8. Nc3 e6 9. Nb5 Rb8 10. Bb2 a6 11. Nd6+ Bxd6 12. exd6 O-O 13. O-O-O Nxf2 14. Ba3 Nxd1 15. Bc4 Ne3 0-1,,,
Rated Rapid game,https://lichess.org/qwYwWSMO,2018.10.31,-,HushPuppies,shivamS,0-1,2018.10.31,01:49:59,1173,1215,-10,+9,Standard,600+0,B00,Normal,1. e4 a5 2. a4 h5 3. h3 d5 4. Nc3 d4 5. Nd5 c6 6. Nf4 g5 7. Nd3 h4 8. Nf3 f6 9. Nxd4 Qxd4 10. c3 0-1,,,
Rated Rapid game,https://lichess.org/Zusfvz9e,2018.10.31,-,sumanthbhupalam,HushPuppies,1-0,2018.10.31,00:23:16,1184,1185,+11,-12,Standard,600+0,B23,Normal,1. e4 c5 2. Nc3 e6 3. Bb5 Nc6 4. a3 a6 5. Bd3 d5 6. exd5 exd5 7. Qe2+ Be6 8. Nf3 h6 9. O-O Be7 10. Na4 Nf6 11. h3 O-O 12. Qd1 c4 13. Be2 Ne4 14. d3 Nxf2 15. Rxf2 b5 16. Nc3 Qd6 17. dxc4 Qg3 18. cxd5 Ne5 19. Ne4 Bxh3 20. Nxg3 1-0,,,
Rated Rapid game,https://lichess.org/jXOZ9Ihb,2018.10.30,-,HushPuppies,Yago2772,0-1,2018.10.30,04:47:19,1195,1270,-10,+9,Standard,600+0,C44,Normal,1. e4 e5 2. Nf3 Nc6 3. c3 Bc5 4. d4 exd4 5. Be3 dxe3 0-1,,,
Rated Rapid game,https://lichess.org/W5riEQF9,2018.10.30,-,HushPuppies,ScottMcDonald,1-0,2018.10.30,04:27:42,1182,1202,+13,-11,Standard,600+0,C44,Normal,1. e4 e5 2. Nf3 Nc6 3. d3 Nf6 4. c4 h6 5. b4 Nd4 6. Nxd4 exd4 7. b5 Bb4+ 8. Bd2 Bxd2+ 9. Nxd2 O-O 10. Nf3 Re8 11. Nxd4 d6 12. Be2 Nxe4 13. O-O Nc3 14. Qc2 Rxe2 15. Nxe2 Nxe2+ 16. Qxe2 Qd7 17. Rfe1 Qe6 18. h3 Qxe2 19. Rxe2 Be6 20. Rae1 Re8 21. a4 c6 22. bxc6 bxc6 23. d4 Kf8 24. Kh2 d5 25. Kg3 dxc4 26. Rc1 f5 27. Re5 Kf7 28. Rc5 Rd8 29. Rxc6 Rxd4 30. Kh2 Rd3 31. Rc7+ Kf6 32. Rc6 g5 33. R1xc4 Kg6 34. Rxe6+ Kh5 35. Rcc6 1-0,,,
Casual Correspondence game,https://lichess.org/Oz5p8qcP,2018.10.30,-,HushPuppies,Anonymous,0-1,2018.10.30,03:45:52,1310,?,,,Standard,600+0,D00,Normal,1. d4 d5 2. Bf4 Bf5 3. h3 Nd7 4. e3 e6 5. Bd3 g6 6. Nf3 Bb4+ 7. c3 Ngf6 8. Bxf5 gxf5 9. Qa4 Bd6 10. Ne5 Bxe5 11. Bxe5 Qe7 12. O-O a6 13. Nd2 O-O-O 14. Qa5 Nxe5 15. dxe5 Ne4 16. Nf3 Rhg8 17. Rac1 Ng5 18. Nxg5 Qxg5 19. h4 Qxg2# 0-1,,,
Rated Rapid game,https://lichess.org/Qh0lOJ8t,2018.10.29,-,joaoncl,HushPuppies,1-0,2018.10.29,23:14:18,1220,1193,+10,-11,Standard,-,C30,Normal,1. e4 e5 2. f4 d6 3. Nf3 Nc6 4. Nc3 Bg4 5. Bc4 Bxf3 6. Qxf3 Nd4 7. Qd3 Qh4+ 8. g3 Qh3 9. Nd5 Ne7 10. Nxc7+ Kd8 11. fxe5 dxe5 12. Nxa8 Qg2 13. Rf1 Qxh2 14. b3 g5 15. Bb2 Nc6 16. Bd5 g4 17. Bxc6 Bb4 18. Bxd4 Bxd2+ 19. Kd1 1-0,,,
Casual Standard game,https://lichess.org/AjpnWwk0,2018.10.29,-,Anonymous,HushPuppies,1-0,2018.10.29,04:39:47,?,1193,,,From Position,600+0,?,Normal,1. Ncd4 Nh4 2. Rh1 N6f5 3. Nxf5 Rfxf5 4. Bxf5 Bxf5 5. Raxh4 Bg4 6. Rxg4 Qxg4 7. Rxh5+ Qxh5 8. Rh3+ Re5 9. Rxh5+ 1-0,,4rnbk/5nqb/5rnn/7r/R7/NNR5/BQN5/KBNR4 w Kq - 0 1,1
Casual Rapid game,https://lichess.org/tNkNh3kQ,2018.10.29,-,HushPuppies,Anonymous,0-1,2018.10.29,04:16:20,1193,?,,,Standard,600+0,D00,Normal,1. d4 d5 2. Bf4 e6 3. Nf3 Nf6 4. Bg5 c5 5. e3 Nc6 6. Bb5 Qa5+ 7. Nc3 Ne4 8. Bf4 Nxc3 9. bxc3 Qxb5 10. a4 Qb2 11. Rb1 Qxc3+ 12. Nd2 cxd4 13. Rb3 Qa5 14. O-O Qxa4 15. Qg4 e5 16. Qg5 h6 17. Qh5 exf4 18. exf4 Bb4 19. Re1+ Kf8 20. Qxd5 Bxd2 21. Rd1 Bxf4 22. c3 Be6 23. Qd6+ Bxd6 24. Rdb1 Bxb3 25. Ra1 Qxa1# 0-1,,,
Rated Rapid game,https://lichess.org/jjm68SEM,2018.10.29,-,HushPuppies,mcostaconrado,1-0,2018.10.29,03:59:14,1186,1023,+7,-6,Standard,600+0,D00,Normal,1. d4 d5 2. Bf4 Nf6 3. e3 Bg4 4. Be2 Bxe2 5. Nxe2 e6 6. O-O Ng4 7. h3 Nf6 8. Bg5 Be7 9. Bxf6 Bxf6 10. c3 Bh4 11. Qa4+ c6 12. Qb4 Qf6 13. f3 Na6 14. Qxb7 O-O 15. Qxa6 Rab8 16. Qxa7 Rxb2 17. a4 Rxe2 18. Na3 Rxe3 19. Nb5 cxb5 20. axb5 Rxc3 21. Rfb1 Qg6 22. Qa8 Rxf3 23. Rf1 Rxh3 24. Qxf8+ Kxf8 25. Ra8+ Ke7 26. Ra7+ Kd6 27. Ra6+ Ke7 28. Ra7+ Kd8 29. Rfxf7 Qb1+ 30. Rf1 Qf5 31. Rxf5 exf5 32. gxh3 Bg3 33. b6 Kc8 34. Rxg7 f4 35. Rxh7 f3 36. Kf1 Kd8 37. b7 Ke8 38. Rg7 Bf4 39. Kf2 Kf8 40. Rh7 Kg8 41. Rd7 Kf8 42. Kxf3 Bh2 43. Kg4 Ke8 44. Rh7 Kd8 45. Kf5 Ke8 46. Kf6 Kd8 47. Ke6 Ke8 48. Rh8# 1-0,,,
