Event,Site,Date,Round,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,Variant,TimeControl,ECO,Termination,PGN,WhiteTitle,FEN,SetUp
Rated Rapid game,https://lichess.org/vwAhgE9e,2018.10.29,-,jjwoodee,HushPuppies,0-1,2018.10.29,03:44:41,987,1180,-5,+6,Standard,600+0,D02,Normal,1. d4 d5 2. Nf3 Nc6 3. c3 f6 4. e3 e5 5. Nbd2 Bg4 6. h3 Bh5 7. Bd3 e4 8. g4 exd3 9. Qb3 Qd6 10. Qxb7 Rb8 11. Qa6 Rb6 12. Qxd3 Bg6 13. Qe2 h5 14. Rg1 h4 15. c4 dxc4 16. Nxc4 Qb4+ 17. Bd2 Rb5 18. Bxb4 Nxb4 19. Na3 Bd3 20. Qd2 Nxa2 21. Rxa2 Bb4 22. Qxb4 Rxb4 23. Nc2 Bxc2 24. Rxa7 Be4 25. Rxc7 Bxf3 26. Kd2 Ne7 27. Ra1 Kf7 28. Kc3 Rb7 29. Rxb7 Bxb7 30. Ra7 Bg2 31. Ra5 Bxh3 32. b4 Bxg4 33. Kc4 h3 34. Kc5 h2 35. b5 h1=Q 36. b6 Qc6+ 37. Kb4 Qxb6+ 38. Rb5 Qd6+ 39. Ka5 Ra8# 0-1,,,
Rated Rapid game,https://lichess.org/fGS6wn8J,2018.10.29,-,HushPuppies,A4B7A8D1,0-1,2018.10.29,03:35:12,1193,1171,-13,+11,Standard,600+0,D00,Normal,1. d4 d5 2. c3 e6 3. e3 Nf6 4. Nf3 Ne4 5. Bd3 Nd7 6. Bxe4 dxe4 7. Nfd2 Nf6 8. b3 Bd6 9. c4 c6 10. Nc3 e5 11. O-O exd4 12. exd4 c5 13. Ncxe4 cxd4 14. Nxd6+ Qxd6 15. Re1+ Be6 16. Ne4 Nxe4 17. Rxe4 f5 18. Rxd4 Qe5 19. Bg5 h6 20. Rd8+ Rxd8 21. Qxd8+ Kf7 22. Qxh8 Qxa1+ 23. Bc1 Qxc1# 0-1,,,
Rated Rapid game,https://lichess.org/s23AiDED,2018.10.29,-,HushPuppies,McKennaBeater,0-1,2018.10.29,03:26:24,1201,1335,-8,+6,Standard,600+0,B20,Normal,1. e4 c5 2. Bc4 Nc6 3. d3 Nf6 4. f4 e6 5. g4 Bd6 6. f5 Be5 7. Bg5 h6 8. Bh4 g5 9. fxg6 fxg6 10. g5 hxg5 11. Bxg5 Bxb2 12. Nf3 Bxa1 13. c3 a6 14. O-O b5 15. e5 Nxe5 16. Bxf6 Qxf6 17. Nxe5 Qg5+ 18. Ng4 bxc4 19. Qf3 d5 20. Qf7+ Kd8 21. Qf3 cxd3 0-1,,,
Rated Rapid game,https://lichess.org/g9ayaKUo,2018.10.29,-,Nitizdevil,HushPuppies,1-0,2018.10.29,03:18:08,1430,1206,+4,-5,Standard,600+0,D01,Normal,1. Nf3 d5 2. d4 e6 3. Bg5 Nf6 4. Nc3 Bb4 5. Qd2 Ne4 6. Qe3 Nxg5 7. Nxg5 Qe7 8. O-O-O h6 9. Nf3 O-O 10. Qd3 a5 11. e4 Bxc3 12. Qxc3 Nc6 13. Re1 a4 14. exd5 Na5 15. dxe6 Bxe6 16. d5 Qd6 17. dxe6 fxe6 18. Bc4 c6 19. Rxe6 Qd7 20. Rd6+ Qf7 21. Bxf7+ Rxf7 22. Rhd1 1-0,,,
Rated Bullet game,https://lichess.org/ack41oks,2018.10.28,-,HushPuppies,boriborza,1-0,2018.10.28,21:36:16,954,998,+33,-44,Standard,600+0,B07,Normal,1. e4 d6 2. d3 c5 3. f3 b6 4. Be3 f6 5. Ne2 Ba6 6. g3 Nd7 7. Bh3 Ne5 8. O-O Bb5 9. d4 a5 10. dxe5 a4 11. c4 dxe5 12. cxb5 Ra5 13. Qxd8+ Kxd8 14. Rd1+ Kc7 15. Nbc3 e6 16. Rd2 Bd6 17. Rad1 a3 18. Rxd6 axb2 19. Rb1 c4 20. Rc6+ Kd8 21. Nd5 Kd7 22. Nxf6+ Nxf6 23. Rxb2 Kd8 24. Rd2+ Ke7 25. g4 Nd7 26. Bg5+ Kf7 27. Rc7 Rd8 28. Rdxd7+ Ke8 29. Re7+ Kf8 30. Rf7+ Ke8 31. Rce7# 1-0,,,
Rated Rapid game,https://lichess.org/lM3rNLxi,2018.10.28,-,HushPuppies,aviIsKing,0-1,2018.10.28,21:16:59,1223,1095,-17,+15,Standard,60+0,B00,Normal,1. e4 g5 2. d4 d5 3. e5 f6 4. Qh5+ Kd7 5. Bb5+ c6 6. Qg4+ Kc7 7. Qg3 cxb5 8. exf6+ Kb6 9. f7 Nh6 10. Qe5 Nxf7 11. Qe3 e5 12. dxe5+ Ka6 13. e6 Nd6 14. Nf3 Bh6 15. Qa3+ Kb6 16. Be3+ Kc7 17. O-O Nc4 18. Qc3 Bxe6 19. b3 a6 20. bxc4 Nc6 21. Rd1 b4 22. Qe5+ Nxe5 23. Nd4 Bg7 24. Nxe6+ Kd7 25. Nxd8 Kxd8 26. c3 Nxc4 27. Rxd5+ Kc7 28. Nd2 Nxd2 29. Bxd2 Rhd8 30. Rxg5 Rxd2 31. Rxg7+ Kb6 32. Rxh7 bxc3 33. Rh3 c2 34. Rh6+ Ka7 35. Rc1 Rd1+ 0-1,,,
Rated Rapid game,https://lichess.org/bqXGw3Np,2018.10.28,-,king33,HushPuppies,1-0,2018.10.28,21:07:13,1210,1237,+11,-14,Standard,600+0,D01,Normal,1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Bd6 5. Qd2 a6 6. Nxd6+ cxd6 7. O-O-O O-O 8. Nh3 h6 9. e3 Ne4 10. Qd3 Qa5 11. a3 Nc6 12. f3 e5 13. fxe4 Bxh3 14. gxh3 exf4 15. exf4 dxe4 16. Qxe4 Rfe8 17. Qg2 Nxd4 18. Rg1 Rac8 19. Qxg7# 1-0,,,
Rated Rapid game,https://lichess.org/D3KHXVhD,2018.10.28,-,mrsnickk,HushPuppies,0-1,2018.10.28,20:54:43,1132,1227,-8,+10,Standard,600+0,C24,Normal,1. e4 e5 2. Bc4 Nf6 3. d3 Bb4+ 4. Nd2 b6 5. Nf3 Bb7 6. O-O O-O 7. Nb3 Bc5 8. Bg5 d5 9. Bxf6 Qxf6 10. Bxd5 Bxd5 11. exd5 Re8 12. Nxc5 bxc5 13. Qd2 h6 14. Rae1 c6 15. c4 cxd5 16. cxd5 Nd7 17. Re2 Re7 18. Rfe1 Rae8 19. d6 Qxd6 20. d4 cxd4 21. Nxd4 exd4 22. Rxe7 Rxe7 23. Rxe7 Qxe7 24. Qxd4 Qe1# 0-1,,,
Rated Rapid game,https://lichess.org/oO3KfsnQ,2018.10.28,-,HushPuppies,overlapwin,0-1,2018.10.28,20:33:29,1235,1391,-8,+6,Standard,600+0,A45,Normal,1. d4 Nf6 2. Bf4 e6 3. e3 Bb4+ 4. c3 Ba5 5. Nf3 d5 6. Be2 Nbd7 7. h3 c5 8. O-O O-O 9. Bd3 Ne4 10. Ng5 f5 11. Nxe4 fxe4 12. Bc2 c4 13. Bd6 Rf6 14. Qh5 Rg6 15. f3 Nf6 16. Qh4 Qxd6 17. fxe4 e5 18. exd5 Rh6 19. Qg3 Qxd5 20. dxe5 Nh5 21. Qf3 Qxf3 22. Rxf3 Be6 23. Nd2 Bb6 24. Kh1 a5 25. Raf1 Bc5 26. Bxh7+ Rxh7 27. Rf8+ Bxf8 0-1,,,
Rated Rapid game,https://lichess.org/5oH2T5nc,2018.10.28,-,klausjazz,HushPuppies,0-1,2018.10.28,19:10:28,1229,1222,-10,+13,Standard,600+0,C42,Normal,1. e4 e5 2. Nf3 Nf6 3. d3 Nc6 4. Be2 d6 5. Bg5 h6 6. Bxf6 Qxf6 7. O-O Be7 8. a3 Qg6 9. h3 Bxh3 10. Nh4 Bxh4 11. Kh2 Qxg2# 0-1,,,
Rated Rapid game,https://lichess.org/XEQfmJ26,2018.10.28,-,HushPuppies,Pontus3000,0-1,2018.10.28,09:33:41,1232,1237,-10,+99,Standard,600+0,C44,Normal,1. e4 e5 2. Nf3 Nc6 3. c3 Nf6 4. d3 Be7 5. Be3 O-O 6. d4 exd4 7. Nxd4 Nxd4 8. Qxd4 d6 9. Bg5 h6 10. Bh4 Re8 11. Bd3 Bg4 12. e5 dxe5 13. Qxe5 Bd6 14. Qxe8+ Qxe8+ 15. Kd2 Ne4+ 16. Kc2 a6 17. Re1 Qa4+ 18. b3 Qc6 19. Rxe4 Bf5 20. Re3 Bxd3+ 21. Rxd3 Qxg2 22. Bg3 Qe4 23. Bxd6 cxd6 24. Nd2 Qg2 25. Re1 Qxf2 26. Rde3 Qxh2 27. Re7 b5 28. R1e2 Qf4 29. R7e4 Qf5 30. b4 Re8 31. Kb3 Rxe4 32. Nxe4 Qd5+ 33. Kb2 Qd3 34. Nf6+ gxf6 35. Re8+ Kg7 36. Re7 Qd2+ 37. Kb1 Qd1+ 38. Kb2 Qd2+ 39. Kb1 h5 40. Re4 Qxc3 41. Re1 Qxe1+ 0-1,,,
Rated Rapid game,https://lichess.org/tTuqM9IP,2018.10.28,-,PsyPsyThrowAway,HushPuppies,0-1,2018.10.28,09:14:33,1155,1222,-12,+10,Standard,600+0,D11,Time forfeit,1. d4 d5 2. Nf3 Nf6 3. c4 c6 4. b4 e6 5. Ne5 Qc7 6. Bf4 Bxb4+ 7. Bd2 Bxd2+ 8. Qxd2 O-O 9. Nc3 a6 10. cxd5 exd5 11. e3 Bf5 12. Qb2 b5 13. Qb4 Nbd7 14. f4 Nxe5 15. fxe5 Nd7 16. Qd6 Qxd6 17. exd6 Rad8 18. a4 b4 19. Ne2 Bd3 20. Nf4 Bxf1 21. Rxf1 Rfe8 22. Rc1 Nb8 23. Ne6 Rxd6 24. Nc7 Re7 25. Rf2 Rxc7 26. e4 dxe4 27. Rf4 Re7 28. Rxe4 Rxe4+ 29. Kd2 Rdxd4+ 30. Kc2 Rc4+ 31. Kb1 Rxc1+ 32. Kxc1 Re2 33. Kb1 Rxg2 34. a5 f5 35. h4 f4 36. h5 f3 37. h6 f2 38. Kb2 f1=Q+ 39. Kb3 Qf7+ 40. Ka4 Ra2+ 41. Kxb4 Qe7+ 42. Kb3 Qe6+ 43. Kc3 Qb3+ 44. Kd4 Rd2+ 45. Ke5 Qe3+ 0-1,,,
Rated Bullet game,https://lichess.org/JxBopMjN,2018.10.28,-,BlunderDownUnder,HushPuppies,0-1,2018.10.28,09:08:42,865,926,-9,+28,Standard,600+0,C41,Time forfeit,1. e4 d6 2. Nf3 e5 3. Bd3 c6 4. O-O Bg4 5. h3 Bxf3 6. Qxf3 Qe7 7. Be2 Nd7 8. d3 O-O-O 9. c3 Ngf6 10. d4 h5 11. dxe5 Nxe4 12. Qxe4 g5 13. Be3 Nxe5 14. Qa4 Kd7 15. Qxa7 Bg7 16. Bxh5 g4 17. f4 gxh3 18. Bg4+ Nxg4 19. Bf2 Nxf2 20. Rxf2 Qe1+ 21. Rf1 Qe4 22. Nd2 Qd3 23. Qa5 b5 0-1,,,
Rated Bullet game,https://lichess.org/3nDhyDyL,2018.10.28,-,HushPuppies,amruthaananth-1967,1-0,2018.10.28,06:06:58,897,821,+29,-9,Standard,60+0,C40,Time forfeit,1. e4 e5 2. Nf3 c6 3. d3 Qb6 4. Be3 Qb4+ 5. Bd2 Qxb2 6. Nc3 Ba3 7. Nxe5 Nf6 8. Nxf7 Kxf7 9. d4 Nxe4 10. Nxe4 Qxd4 11. Bd3 Bb2 12. Rb1 Ba3 13. O-O c5 14. c3 Qe5 15. Qe2 c4 16. Bxc4+ Ke7 17. Bg5+ Ke8 18. Nf6+ gxf6 19. Bf7+ Kxf7 20. Qxe5 fxe5 21. Rfe1 Re8 22. Rbd1 d6 23. Rxe5 dxe5 24. Rd7+ Kg6 25. Rg7+ Kxg7 26. Bf6+ 1-0,,,
Rated Rapid game,https://lichess.org/R9gdKJSt,2018.10.28,-,fabriciofs,HushPuppies,0-1,2018.10.28,00:24:39,1296,1205,-13,+17,Standard,60+0,B21,Normal,1. e4 c5 2. d4 b6 3. d5 d6 4. Bb5+ Bd7 5. Bc6 Bxc6 6. dxc6 Nxc6 7. Qd5 Qd7 8. Nf3 Nf6 9. Qc4 Qb7 10. Ng5 b5 11. Qxf7+ Kd8 12. Ne6+ Kd7 13. e5 Nd4 14. Nxd4 cxd4 15. exf6 gxf6 16. O-O Bg7 17. Qxg7 Rhg8 18. Qxg8 Rxg8 19. g3 e5 20. Bh6 Rg6 21. Bd2 h5 22. Bb4 f5 23. Nd2 f4 24. Rae1 h4 25. Ne4 Ke6 26. Bxd6 hxg3 27. fxg3 fxg3 28. hxg3 Rh6 29. Kf2 Rh2+ 30. Kf3 Qf7+ 31. Kg4 Qg6+ 32. Ng5+ Kxd6 33. Rf8 Qh5+ 34. Kf5 Rf2+ 35. Ke4 Rxf8 36. c4 bxc4 37. a4 Qxg5 38. b4 Rf4+ 39. gxf4 Qxf4# 0-1,,,
Rated Rapid game,https://lichess.org/xZwVpHmJ,2018.10.28,-,HushPuppies,CobraCareca,0-1,2018.10.28,00:06:07,1221,1145,-16,+14,Standard,600+0,A40,Normal,1. d4 e6 2. Bf4 c5 3. c3 d5 4. Nf3 Nd7 5. Qa4 Nf6 6. Ne5 Bd6 7. dxc5 Bxc5 8. Nf3 O-O 9. Bg5 Be7 10. h3 Nb6 11. Qh4 Bd7 12. c4 dxc4 13. Nc3 Bb4 14. e4 e5 15. Rd1 Be7 16. Nxe5 Rc8 17. Be2 h6 18. Bxh6 gxh6 19. Qg3+ Kh7 20. Qh4 Rg8 21. Nxf7 Qe8 22. Ng5+ Kg7 23. O-O hxg5 24. Qxg5+ Kf8 25. Qh6+ Rg7 26. Bxc4 Rxc4 27. e5 Ng8 28. Qh8 Qg6 29. Nd5 Qxg2# 0-1,,,
Rated Rapid game,https://lichess.org/PUdj45GG,2018.10.28,-,HushPuppies,rchristiephotos,0-1,2018.10.28,00:02:36,1233,1296,-12,+9,Standard,600+0,A40,Normal,1. d4 c6 2. Bf4 d6 3. c3 Nf6 4. Nd2 g6 5. e3 Bg7 6. Bd3 d5 7. Ngf3 Bg4 8. O-O Nbd7 9. Ne5 Bxd1 0-1,,,
Rated Rapid game,https://lichess.org/1acpDB9R,2018.10.27,-,adlai,HushPuppies,1-0,2018.10.27,23:48:01,1269,1246,+10,-13,Standard,600+0,C68,Normal,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. Nxe5 Qe7 6. d4 Be6 7. Nf3 O-O-O 8. O-O Bg4 9. e5 f6 10. h3 Bh5 11. Be3 fxe5 12. Re1 e4 13. Nbd2 exf3 14. Nxf3 Qd6 15. Qd3 Bxf3 16. Qf5+ Rd7 17. Qxf3 Nf6 18. Rad1 b6 19. Bg5 Be7 20. c4 h6 21. Bf4 Qb4 22. Qxc6 Rhd8 23. Qa8# 1-0,,,
Rated Rapid game,https://lichess.org/BULrFQ3G,2018.10.27,-,HushPuppies,MyllyTuom,0-1,2018.10.27,21:27:12,1258,1306,-12,+9,Standard,600+0,A45,Normal,1. d4 Nf6 2. c3 e6 3. Nf3 b6 4. Bg5 Ba6 5. Nbd2 Be7 6. e3 Bxf1 7. Nxf1 Nd5 8. Ng3 Bxg5 9. Qd2 O-O 10. O-O c5 11. Qd3 Nc6 12. Ne4 Be7 13. Rfe1 f5 14. Neg5 Bxg5 15. Nxg5 Qxg5 16. c4 0-1,,,
Rated Rapid game,https://lichess.org/L6lrFc94,2018.10.27,-,HushPuppies,telme1212,1-0,2018.10.27,21:17:08,1243,1247,+15,-11,Standard,600+0,C60,Normal,1. e4 e5 2. Nf3 Nc6 3. Bb5 d5 4. Nxe5 dxe4 5. Nxc6 bxc6 6. Bxc6+ Bd7 7. Bxa8 Qxa8 8. Qe2 Be7 9. Nc3 e3 10. dxe3 Qxg2 11. Qf1 Qf3 12. Rg1 Nf6 13. Rxg7 Bh3 14. Rg3 Bxf1 15. Rxf3 Bg2 16. Rf4 Nh5 17. Nd5 Nxf4 18. Nxf4 Bf3 19. Ne2 Rg8 20. Bd2 Bxe2 21. Kxe2 Bf6 22. Bc3 Be7 23. Kf3 h5 24. a3 a6 25. Rd1 c5 26. Rd5 Rh8 27. Bxh8 c4 28. Rxh5 a5 29. Rxa5 Bf6 1-0,,,
Rated Rapid game,https://lichess.org/akJhtOfY,2018.10.27,-,luluc61,HushPuppies,0-1,2018.10.27,21:04:42,1153,1232,-8,+11,Standard,600+0,B20,Normal,1. e4 c5 2. e5 e6 3. Nf3 Nc6 4. d4 cxd4 5. Nxd4 Nxe5 6. Bb5 Nf6 7. Bf4 Bd6 8. Bxe5 Bxe5 9. O-O a6 10. Ba4 Nd5 11. Qg4 O-O 12. Qh3 Bxd4 13. c4 b5 14. Bc2 Nf6 15. cxb5 axb5 16. Nd2 Bb7 17. Rfe1 Bxb2 18. Ne4 Bxe4 19. Rxe4 Nxe4 20. Bxe4 h6 21. Rd1 Rc8 22. Qd3 d5 23. Bh7+ Kh8 24. Qb1 g6 25. Qxb2+ Kxh7 26. g3 Rc7 27. Qxb5 Qb8 28. Qd3 Rfc8 29. Kg2 d4 30. Qxd4 Rd8 31. Qxd8 Qb7+ 32. Qd5 exd5 0-1,,,
Rated Rapid game,https://lichess.org/n6lpL3u6,2018.10.27,-,tmacksmyers,HushPuppies,1-0,2018.10.27,20:47:48,1289,1245,+9,-13,Standard,600+0,C46,Normal,1. e4 e5 2. Nf3 Nc6 3. Nc3 f6 4. Bc4 Nge7 5. d3 Nd4 6. Nxd4 exd4 7. Nd5 c6 8. Nxe7 Bxe7 9. O-O d5 10. exd5 cxd5 11. Bb5+ Bd7 12. Bxd7+ Qxd7 13. Qf3 O-O 14. c4 f5 15. cxd5 Rae8 16. Bf4 Bd6 17. Bxd6 Qxd6 18. Rae1 Re5 19. Rxe5 Qxe5 20. b4 Re8 21. Qd1 Qxd5 22. a3 Qa2 23. Re1 Re6 24. Rxe6 Qxe6 25. h3 Qa6 26. Qe1 h6 27. g4 f4 28. h4 Qxd3 29. h5 Qh3 30. Qe8+ Kh7 31. Qg6+ Kg8 32. Qe6+ Kh7 33. Qf5+ Kg8 34. Qxf4 d3 35. Qb8+ Kh7 36. Qxb7 d2 37. Qe4+ Kh8 38. Qd4 d1=Q+ 39. Qxd1 Qxa3 40. Qd4 Qc1+ 41. Kg2 Qc6+ 42. f3 Qc2+ 43. Kg3 Qc7+ 44. Kh3 Qb7 45. Qd8+ Kh7 46. g5 hxg5 47. Qxg5 Qc8+ 48. Kh4 Qc4+ 49. f4 Qe4 50. b5 Qe1+ 51. Kg4 Qg1+ 52. Kf5 Qxg5+ 53. Kxg5 Kh8 54. h6 gxh6+ 55. Kxh6 Kg8 56. Kg6 Kf8 57. f5 Kg8 58. f6 Kf8 59. f7 Ke7 60. Kg7 Ke6 61. f8=Q Kd5 62. Qf7+ Kd6 63. Qxa7 Kd5 64. b6 1-0,,,
Rated Rapid game,https://lichess.org/GVYWNb57,2018.10.27,-,HushPuppies,tmacksmyers,0-1,2018.10.27,20:44:08,1260,1279,-15,+10,Standard,600+0,C20,Normal,1. e4 e5 2. f3 Nc6 3. Ne2 Bc5 4. b3 Nf6 5. Bb2 d5 6. d3 dxe4 7. dxe4 Qxd1+ 8. Kxd1 O-O 9. a4 b6 10. a5 bxa5 11. Ra4 Bd7 12. Nbc3 Bb4 13. Kc1 Nd4 14. Ba3 Bxa4 0-1,,,
Casual Antichess game,https://lichess.org/xl5nAsyk,2018.10.27,-,lichess AI level 3,HushPuppies,1-0,2018.10.27,07:39:03,?,1500,,,Antichess,600+0,?,Normal,1. f3 f6 2. c3 c6 3. Kf2 Kf7 4. g3 g6 5. Bg2 Bg7 6. Kf1 Kf8 7. a4 a5 8. c4 b5 9. axb5 cxb5 10. Rxa5 Qxa5 11. cxb5 Qxd2 12. Nxd2 Na6 13. bxa6 Bxa6 14. Nb3 Bxe2 15. Qxd7 Bxf3 16. Qxe7 Bxg2 17. Qxf8 Rxf8 18. Kxg2 Ne7 19. Bg5 fxg5 20. Kf1 Rxf1 21. Nd4 Rxg1 22. Rxg1 Bxd4 23. Rf1 Bxb2 24. Rc1 Bxc1 25. h3 g4 26. hxg4 Ba3 27. g5 Nc6 28. g4 Nb8# 1-0,,,
Casual Antichess game,https://lichess.org/iU1pd1L1,2018.10.27,-,HushPuppies,lichess AI level 3,0-1,2018.10.27,07:32:52,1500,?,,,Antichess,600+0,?,Normal,1. g3 f6 2. h3 b6 3. Rh2 c6 4. Rg2 a6 5. b3 h5 6. g4 hxg4 7. Rxg4 Rxh3 8. Rxg7 Rxb3 9. Rxg8 Rxb1 10. Rxf8 Kxf8 11. Rxb1 Qe8 12. Rxb6 d6 13. Rxc6 Nxc6 14. e3 Bg4 15. Qxg4 Rb8 16. Bxa6 f5 17. Qxf5 Rb2 18. Qxf8 Qxf8 19. Bxb2 Qxf2 20. Kxf2 e5 21. Bxe5 dxe5 22. a4 Ne7 23. Be2 Ng6 24. e4 Ne7 25. Kf3 Nf5 26. exf5 e4 27. Kxe4# 0-1,,,
Casual Antichess game,https://lichess.org/uKNdY9Ih,2018.10.27,-,HushPuppies,lichess AI level 3,0-1,2018.10.27,07:29:14,1500,?,,,Antichess,600+0,?,Normal,1. d4 e5 2. dxe5 Ne7 3. Qxd7 Kxd7 4. Bh6 gxh6 5. e6 Kxe6 6. h3 Qd3 7. exd3 b6 8. d4 b5 9. Bxb5 c5 10. dxc5 Nec6 11. Bxc6 Bxc5 12. Bxa8 Bxf2 13. Kxf2 Bb7 0-1,,,
Casual Antichess game,https://lichess.org/lsZvVrj7,2018.10.27,-,lichess AI level 3,HushPuppies,1-0,2018.10.27,07:27:18,?,1500,,,Antichess,600+0,?,Normal,1. c3 h6 2. f3 a6 3. a3 b6 4. Ra2 g6 5. h4 d6 6. f4 g5 7. hxg5 hxg5 8. fxg5 Rxh1 9. g3 Rxg1 10. c4 Rxg3 11. a4 Rxg5 12. Bg2 1-0,,,
Casual Antichess game,https://lichess.org/iKYZTtnP,2018.10.27,-,HushPuppies,lichess AI level 3,0-1,2018.10.27,07:23:07,1500,?,,,Antichess,600+0,?,Normal,1. e4 b5 2. Bxb5 Nf6 3. Bxd7 Nxe4 4. Bxc8 Nxf2 5. Kxf2 Qxd2 6. Qxd2 g5 7. Qxg5 e5 8. Qxe5 Be7 9. Qxe7 Kxe7 10. Bd7 Nxd7 11. Ne2 Kf6 12. c4 Kg5 13. Bxg5 Nf6 14. Bxf6 Rae8 15. Bxh8 Rxe2 16. Kxe2 h6 0-1,,,
U2000 Rapid Arena,https://lichess.org/caxSAHzK,2018.10.27,-,agnim_dutta,HushPuppies,1-0,2018.10.27,05:47:09,1571,1264,+4,-4,Standard,600+0,C40,Normal,1. e4 e5 2. Nf3 c6 3. Nxe5 d5 4. exd5 Qe7 5. d4 f6 6. Bf4 Nd7 7. Be2 fxe5 8. dxe5 Nxe5 9. O-O Ng6 10. Be3 cxd5 11. Qxd5 Qd6 12. Qe4+ Qe5 13. Bb5+ Bd7 14. Bxd7+ Kxd7 15. Rd1+ Bd6 16. Qa4+ Ke7 17. Bd4 Qe2 18. Nc3 Qxc2 19. Qxc2 Bb4 20. Re1+ Kf7 21. Qb3+ Kf8 22. Qxb4+ N8e7 23. Bc5 Re8 24. Bxe7+ Nxe7 25. Rxe7 Rxe7 26. Re1 g6 27. Rxe7 Rg8 28. Rxh7+ Ke8 29. Qe7# 1-0,,,
